#i,j,r,g,b
135,358,235,235,235
142,360,235,235,235

135,325,222,222,222
135,324,222,222,222

135,325,222,222,222
139,326,222,222,222

135,325,222,222,222
139,324,222,222,222

135,324,188,188,188
135,325,188,188,188

135,324,188,188,188
139,324,188,188,188

135,324,188,188,188
131,322,188,188,188

135,255,228,228,228
134,254,228,228,228

135,255,228,228,228
132,253,228,228,228

135,255,228,228,228
134,260,228,228,228

135,222,161,161,161
136,222,161,161,161

135,222,161,161,161
137,220,161,161,161

135,222,161,161,161
131,223,161,161,161

135,188,143,143,143
134,190,143,143,143

135,188,143,143,143
141,186,143,143,143

135,188,143,143,143
130,192,143,143,143

135,144,124,124,124
139,145,124,124,124

135,144,124,124,124
132,147,124,124,124

135,144,124,124,124
138,147,124,124,124

136,332,158,158,158
134,330,158,158,158

136,332,158,158,158
131,333,158,158,158

136,332,158,158,158
137,338,158,158,158

136,275,227,227,227
137,275,227,227,227

136,275,227,227,227
133,272,227,227,227

136,275,227,227,227
131,279,227,227,227

136,233,109,109,109
140,229,109,109,109

136,233,109,109,109
141,228,109,109,109

136,233,109,109,109
134,226,109,109,109

136,222,173,173,173
135,222,173,173,173

136,222,173,173,173
137,220,173,173,173

136,222,173,173,173
134,226,173,173,173

136,128,134,134,134
133,127,134,134,134

136,128,134,134,134
125,130,134,134,134

136,128,134,134,134
145,138,134,134,134

137,406,198,198,198
135,406,198,198,198

137,406,198,198,198
135,409,198,198,198

137,406,198,198,198
138,410,198,198,198

137,352,115,115,115
139,351,115,115,115

137,352,115,115,115
137,349,115,115,115

137,352,115,115,115
134,354,115,115,115

137,349,252,252,252
139,351,252,252,252

137,349,252,252,252
137,352,252,252,252

137,349,252,252,252
137,345,252,252,252

137,345,114,114,114
139,343,114,114,114

137,345,114,114,114
137,349,114,114,114

137,345,114,114,114
141,341,114,114,114

137,338,226,226,226
140,339,226,226,226

137,338,226,226,226
141,341,226,226,226

137,338,226,226,226
139,343,226,226,226

137,275,228,228,228
136,275,228,228,228

137,275,228,228,228
133,272,228,228,228

137,275,228,228,228
131,279,228,228,228

137,220,208,208,208
136,222,208,208,208

137,220,208,208,208
135,222,208,208,208

137,220,208,208,208
132,218,208,208,208

137,181,200,200,200
139,183,200,200,200

137,181,200,200,200
140,178,200,200,200

137,181,200,200,200
141,179,200,200,200

138,410,204,204,204
135,409,204,204,204

138,410,204,204,204
137,406,204,204,204

138,410,204,204,204
135,406,204,204,204

138,291,209,209,209
139,294,209,209,209

138,291,209,209,209
134,292,209,209,209

138,291,209,209,209
130,291,209,209,209

138,245,224,224,224
138,242,224,224,224

138,245,224,224,224
143,252,224,224,224

138,245,224,224,224
134,254,224,224,224

138,242,169,169,169
138,245,169,169,169

138,242,169,169,169
136,233,169,169,169

138,242,169,169,169
143,252,169,169,169

138,147,172,172,172
139,145,172,172,172

138,147,172,172,172
135,144,172,172,172

138,147,172,172,172
132,147,172,172,172

139,368,208,208,208
142,360,208,208,208

139,368,208,208,208
147,373,208,208,208

139,368,208,208,208
135,358,208,208,208

139,351,187,187,187
137,352,187,187,187

139,351,187,187,187
137,349,187,187,187

139,351,187,187,187
143,351,187,187,187

139,343,154,154,154
137,345,154,154,154

139,343,154,154,154
141,341,154,154,154

139,343,154,154,154
140,339,154,154,154

139,326,237,237,237
139,324,237,237,237

139,326,237,237,237
135,325,237,237,237

139,326,237,237,237
135,324,237,237,237

139,324,226,226,226
139,326,226,226,226

139,324,226,226,226
135,324,226,226,226

139,324,226,226,226
135,325,226,226,226

139,294,183,183,183
138,291,183,183,183

139,294,183,183,183
134,292,183,183,183

139,294,183,183,183
130,291,183,183,183

139,183,194,194,194
137,181,194,194,194

139,183,194,194,194
141,186,194,194,194

139,183,194,194,194
143,184,194,194,194

139,145,157,157,157
138,147,157,157,157

139,145,157,157,157
135,144,157,157,157

139,145,157,157,157
146,146,157,157,157

140,339,253,253,253
141,341,253,253,253

140,339,253,253,253
137,338,253,253,253

140,339,253,253,253
143,337,253,253,253

140,267,231,231,231
140,265,231,231,231

140,267,231,231,231
134,262,231,231,231

140,267,231,231,231
137,275,231,231,231

140,265,231,231,231
140,267,231,231,231

140,265,231,231,231
134,262,231,231,231

140,265,231,231,231
134,260,231,231,231

140,229,192,192,192
141,228,192,192,192

140,229,192,192,192
144,230,192,192,192

140,229,192,192,192
144,227,192,192,192

140,178,213,213,213
141,179,213,213,213

140,178,213,213,213
142,179,213,213,213

140,178,213,213,213
137,181,213,213,213

140,168,80,80,80
145,170,80,80,80

140,168,80,80,80
134,168,80,80,80

140,168,80,80,80
148,168,80,80,80

141,414,229,229,229
138,410,229,229,229

141,414,229,229,229
135,409,229,229,229

141,414,229,229,229
137,406,229,229,229

141,341,235,235,235
140,339,235,235,235

141,341,235,235,235
139,343,235,235,235

141,341,235,235,235
143,337,235,235,235

141,315,250,250,250
143,314,250,250,250

141,315,250,250,250
142,312,250,250,250

141,315,250,250,250
145,320,250,250,250

141,304,174,174,174
147,301,174,174,174

141,304,174,174,174
142,312,174,174,174

