#i,j,r,g,b
173,463,14,14,14

169,473,14,14,14
166,457,14,14,14

170,453,6,6,6
165,455,6,6,6

170,453,6,6,6
166,457,6,6,6

170,453,6,6,6
168,447,6,6,6

170,260,129,129,129
156,242,129,129,129

170,260,129,129,129
200,250,129,129,129

170,260,129,129,129
163,229,129,129,129

170,189,53,53,53
166,193,53,53,53

170,189,53,53,53
158,197,53,53,53

170,189,53,53,53
185,181,53,53,53

173,463,7,7,7
166,457,7,7,7

173,463,7,7,7
165,457,7,7,7

173,463,7,7,7
170,453,7,7,7

175,215,116,116,116
176,225,116,116,116

175,215,116,116,116
163,205,116,116,116

175,215,116,116,116
159,217,116,116,116

176,225,118,118,118
175,215,118,118,118

176,225,118,118,118
163,229,118,118,118

176,225,118,118,118
159,217,118,118,118

178,172,70,70,70
183,177,70,70,70

178,172,70,70,70
186,165,70,70,70

178,172,70,70,70
185,181,70,70,70

179,476,26,26,26
187,478,26,26,26

179,476,26,26,26
169,473,26,26,26

179,476,26,26,26
173,463,26,26,26

182,455,6,6,6
173,463,6,6,6

182,455,6,6,6
170,453,6,6,6

182,455,6,6,6
191,467,6,6,6

183,177,16,16,16
185,181,16,16,16

183,177,16,16,16
178,172,16,16,16

183,177,16,16,16
190,171,16,16,16

185,181,104,104,104
183,177,104,104,104

185,181,104,104,104
190,171,104,104,104

185,181,104,104,104
178,172,104,104,104

186,165,90,90,90
190,171,90,90,90

186,165,90,90,90
178,172,90,90,90

186,165,90,90,90
183,177,90,90,90

187,478,5,5,5
179,476,5,5,5

187,478,5,5,5
191,467,5,5,5

187,478,5,5,5
194,466,5,5,5

190,314,127,127,127
196,316,127,127,127

190,314,127,127,127
212,318,127,127,127

190,314,127,127,127
201,290,127,127,127

190,171,22,22,22
186,165,22,22,22

190,171,22,22,22
183,177,22,22,22

190,171,22,22,22
185,181,22,22,22

191,467,5,5,5
194,466,5,5,5

191,467,5,5,5
197,457,5,5,5

191,467,5,5,5
187,478,5,5,5

194,466,4,4,4
191,467,4,4,4

194,466,4,4,4
197,457,4,4,4

194,466,4,4,4
200,458,4,4,4

196,316,114,114,114
190,314,114,114,114

196,316,114,114,114
212,318,114,114,114

196,316,114,114,114
216,302,114,114,114

197,457,8,8,8
200,458,8,8,8

197,457,8,8,8
194,466,8,8,8

197,457,8,8,8
191,467,8,8,8

198,374,171,171,171
203,370,171,171,171

198,374,171,171,171
208,359,171,171,171

198,374,171,171,171
219,342,171,171,171

199,273,123,123,123
201,290,123,123,123

199,273,123,123,123
220,277,123,123,123

199,273,123,123,123
218,283,123,123,123

200,458,3,3,3
197,457,3,3,3

200,458,3,3,3
208,461,3,3,3

200,458,3,3,3
208,462,3,3,3

200,250,125,125,125
204,239,125,125,125

200,250,125,125,125
199,273,125,125,125

200,250,125,125,125
170,260,125,125,125

201,290,111,111,111
199,273,111,111,111

201,290,111,111,111
218,283,111,111,111

201,290,111,111,111
216,302,111,111,111

203,370,154,154,154
198,374,154,154,154

203,370,154,154,154
208,359,154,154,154

203,370,154,154,154
219,342,154,154,154

204,239,123,123,123
200,250,123,123,123

204,239,123,123,123
230,240,123,123,123

204,239,123,123,123
232,246,123,123,123

205,471,4,4,4
207,468,4,4,4

